Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum.params
[krum - label_flipping_attack] Iteration 09. Test_acc 0.1000
[krum - label_flipping_attack] Iteration 19. Test_acc 0.2145
[krum - label_flipping_attack] Iteration 29. Test_acc 0.3574
[krum - label_flipping_attack] Iteration 39. Test_acc 0.3960
[krum - label_flipping_attack] Iteration 49. Test_acc 0.4393
[krum - label_flipping_attack] Iteration 59. Test_acc 0.5577
[krum - label_flipping_attack] Iteration 69. Test_acc 0.5752
[krum - label_flipping_attack] Iteration 79. Test_acc 0.4911
[krum - label_flipping_attack] Iteration 89. Test_acc 0.6623
[krum - label_flipping_attack] Iteration 99. Test_acc 0.5863
[krum - label_flipping_attack] Iteration 109. Test_acc 0.6371
[krum - label_flipping_attack] Iteration 119. Test_acc 0.6219
[krum - label_flipping_attack] Iteration 129. Test_acc 0.7196
[krum - label_flipping_attack] Iteration 139. Test_acc 0.7124
[krum - label_flipping_attack] Iteration 149. Test_acc 0.7178
[krum - label_flipping_attack] Iteration 159. Test_acc 0.7137
[krum - label_flipping_attack] Iteration 169. Test_acc 0.7064
[krum - label_flipping_attack] Iteration 179. Test_acc 0.7406
[krum - label_flipping_attack] Iteration 189. Test_acc 0.7159
[krum - label_flipping_attack] Iteration 199. Test_acc 0.7502
[krum - label_flipping_attack] Iteration 209. Test_acc 0.7264
[krum - label_flipping_attack] Iteration 219. Test_acc 0.7401
[krum - label_flipping_attack] Iteration 229. Test_acc 0.7135
[krum - label_flipping_attack] Iteration 239. Test_acc 0.7528
[krum - label_flipping_attack] Iteration 249. Test_acc 0.7449
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_000250.params
[krum - label_flipping_attack] Iteration 259. Test_acc 0.7528
[krum - label_flipping_attack] Iteration 269. Test_acc 0.7689
[krum - label_flipping_attack] Iteration 279. Test_acc 0.7311
[krum - label_flipping_attack] Iteration 289. Test_acc 0.7176
[krum - label_flipping_attack] Iteration 299. Test_acc 0.7354
[krum - label_flipping_attack] Iteration 309. Test_acc 0.7624
[krum - label_flipping_attack] Iteration 319. Test_acc 0.7621
[krum - label_flipping_attack] Iteration 329. Test_acc 0.7381
[krum - label_flipping_attack] Iteration 339. Test_acc 0.7486
[krum - label_flipping_attack] Iteration 349. Test_acc 0.7633
[krum - label_flipping_attack] Iteration 359. Test_acc 0.7623
[krum - label_flipping_attack] Iteration 369. Test_acc 0.7760
[krum - label_flipping_attack] Iteration 379. Test_acc 0.7645
[krum - label_flipping_attack] Iteration 389. Test_acc 0.7519
[krum - label_flipping_attack] Iteration 399. Test_acc 0.7774
[krum - label_flipping_attack] Iteration 409. Test_acc 0.7878
[krum - label_flipping_attack] Iteration 419. Test_acc 0.7909
[krum - label_flipping_attack] Iteration 429. Test_acc 0.7661
[krum - label_flipping_attack] Iteration 439. Test_acc 0.7552
[krum - label_flipping_attack] Iteration 449. Test_acc 0.7889
[krum - label_flipping_attack] Iteration 459. Test_acc 0.7810
[krum - label_flipping_attack] Iteration 469. Test_acc 0.7780
[krum - label_flipping_attack] Iteration 479. Test_acc 0.7864
[krum - label_flipping_attack] Iteration 489. Test_acc 0.7718
[krum - label_flipping_attack] Iteration 499. Test_acc 0.7851
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_000500.params
[krum - label_flipping_attack] Iteration 509. Test_acc 0.7884
[krum - label_flipping_attack] Iteration 519. Test_acc 0.7941
[krum - label_flipping_attack] Iteration 529. Test_acc 0.7774
[krum - label_flipping_attack] Iteration 539. Test_acc 0.7838
[krum - label_flipping_attack] Iteration 549. Test_acc 0.7891
[krum - label_flipping_attack] Iteration 559. Test_acc 0.7674
[krum - label_flipping_attack] Iteration 569. Test_acc 0.7918
[krum - label_flipping_attack] Iteration 579. Test_acc 0.7811
[krum - label_flipping_attack] Iteration 589. Test_acc 0.7719
[krum - label_flipping_attack] Iteration 599. Test_acc 0.7816
[krum - label_flipping_attack] Iteration 609. Test_acc 0.7992
[krum - label_flipping_attack] Iteration 619. Test_acc 0.7872
[krum - label_flipping_attack] Iteration 629. Test_acc 0.7963
[krum - label_flipping_attack] Iteration 639. Test_acc 0.7948
[krum - label_flipping_attack] Iteration 649. Test_acc 0.7996
[krum - label_flipping_attack] Iteration 659. Test_acc 0.7889
[krum - label_flipping_attack] Iteration 669. Test_acc 0.7649
[krum - label_flipping_attack] Iteration 679. Test_acc 0.8052
[krum - label_flipping_attack] Iteration 689. Test_acc 0.8015
[krum - label_flipping_attack] Iteration 699. Test_acc 0.7924
[krum - label_flipping_attack] Iteration 709. Test_acc 0.7670
[krum - label_flipping_attack] Iteration 719. Test_acc 0.7901
[krum - label_flipping_attack] Iteration 729. Test_acc 0.7812
[krum - label_flipping_attack] Iteration 739. Test_acc 0.7974
[krum - label_flipping_attack] Iteration 749. Test_acc 0.7926
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_000750.params
[krum - label_flipping_attack] Iteration 759. Test_acc 0.7897
[krum - label_flipping_attack] Iteration 769. Test_acc 0.8048
[krum - label_flipping_attack] Iteration 779. Test_acc 0.8009
[krum - label_flipping_attack] Iteration 789. Test_acc 0.7845
[krum - label_flipping_attack] Iteration 799. Test_acc 0.7881
[krum - label_flipping_attack] Iteration 809. Test_acc 0.7984
[krum - label_flipping_attack] Iteration 819. Test_acc 0.7956
[krum - label_flipping_attack] Iteration 829. Test_acc 0.8093
[krum - label_flipping_attack] Iteration 839. Test_acc 0.7702
[krum - label_flipping_attack] Iteration 849. Test_acc 0.7959
[krum - label_flipping_attack] Iteration 859. Test_acc 0.8045
[krum - label_flipping_attack] Iteration 869. Test_acc 0.7983
[krum - label_flipping_attack] Iteration 879. Test_acc 0.8062
[krum - label_flipping_attack] Iteration 889. Test_acc 0.7766
[krum - label_flipping_attack] Iteration 899. Test_acc 0.7960
[krum - label_flipping_attack] Iteration 909. Test_acc 0.8019
[krum - label_flipping_attack] Iteration 919. Test_acc 0.7984
[krum - label_flipping_attack] Iteration 929. Test_acc 0.7921
[krum - label_flipping_attack] Iteration 939. Test_acc 0.7998
Loaded checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_000750.params
Resume status: start_iter=750, niter=2500, remaining_iterations=1750
[krum - label_flipping_attack] Iteration 759. Test_acc 0.7914
[krum - label_flipping_attack] Iteration 769. Test_acc 0.8006
[krum - label_flipping_attack] Iteration 779. Test_acc 0.7918
[krum - label_flipping_attack] Iteration 789. Test_acc 0.7808
[krum - label_flipping_attack] Iteration 799. Test_acc 0.7967
[krum - label_flipping_attack] Iteration 809. Test_acc 0.7957
[krum - label_flipping_attack] Iteration 819. Test_acc 0.8091
[krum - label_flipping_attack] Iteration 829. Test_acc 0.7953
[krum - label_flipping_attack] Iteration 839. Test_acc 0.8015
[krum - label_flipping_attack] Iteration 849. Test_acc 0.8067
[krum - label_flipping_attack] Iteration 859. Test_acc 0.8013
[krum - label_flipping_attack] Iteration 869. Test_acc 0.8003
[krum - label_flipping_attack] Iteration 879. Test_acc 0.8003
[krum - label_flipping_attack] Iteration 889. Test_acc 0.8085
[krum - label_flipping_attack] Iteration 899. Test_acc 0.8005
[krum - label_flipping_attack] Iteration 909. Test_acc 0.7738
[krum - label_flipping_attack] Iteration 919. Test_acc 0.7919
[krum - label_flipping_attack] Iteration 929. Test_acc 0.8107
