Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median.params
[median - label_flipping_attack] Iteration 09. Test_acc 0.2551
[median - label_flipping_attack] Iteration 19. Test_acc 0.1135
[median - label_flipping_attack] Iteration 29. Test_acc 0.3792
[median - label_flipping_attack] Iteration 39. Test_acc 0.3661
[median - label_flipping_attack] Iteration 49. Test_acc 0.4873
[median - label_flipping_attack] Iteration 59. Test_acc 0.5369
[median - label_flipping_attack] Iteration 69. Test_acc 0.6608
[median - label_flipping_attack] Iteration 79. Test_acc 0.5692
[median - label_flipping_attack] Iteration 89. Test_acc 0.6367
[median - label_flipping_attack] Iteration 99. Test_acc 0.7133
[median - label_flipping_attack] Iteration 109. Test_acc 0.7173
[median - label_flipping_attack] Iteration 119. Test_acc 0.5982
[median - label_flipping_attack] Iteration 129. Test_acc 0.6565
[median - label_flipping_attack] Iteration 139. Test_acc 0.7373
[median - label_flipping_attack] Iteration 149. Test_acc 0.7156
[median - label_flipping_attack] Iteration 159. Test_acc 0.6851
[median - label_flipping_attack] Iteration 169. Test_acc 0.7181
[median - label_flipping_attack] Iteration 179. Test_acc 0.6789
[median - label_flipping_attack] Iteration 189. Test_acc 0.6037
[median - label_flipping_attack] Iteration 199. Test_acc 0.7293
[median - label_flipping_attack] Iteration 209. Test_acc 0.7655
[median - label_flipping_attack] Iteration 219. Test_acc 0.7396
[median - label_flipping_attack] Iteration 229. Test_acc 0.6225
[median - label_flipping_attack] Iteration 239. Test_acc 0.7408
[median - label_flipping_attack] Iteration 249. Test_acc 0.6114
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_000250.params
[median - label_flipping_attack] Iteration 259. Test_acc 0.7368
[median - label_flipping_attack] Iteration 269. Test_acc 0.7355
[median - label_flipping_attack] Iteration 279. Test_acc 0.6556
[median - label_flipping_attack] Iteration 289. Test_acc 0.7571
[median - label_flipping_attack] Iteration 299. Test_acc 0.7401
[median - label_flipping_attack] Iteration 309. Test_acc 0.6741
[median - label_flipping_attack] Iteration 319. Test_acc 0.7260
[median - label_flipping_attack] Iteration 329. Test_acc 0.7447
[median - label_flipping_attack] Iteration 339. Test_acc 0.7657
