Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean.params
[trimmed_mean - label_flipping_attack] Iteration 09. Test_acc 0.3787
[trimmed_mean - label_flipping_attack] Iteration 19. Test_acc 0.3104
[trimmed_mean - label_flipping_attack] Iteration 29. Test_acc 0.4186
[trimmed_mean - label_flipping_attack] Iteration 39. Test_acc 0.4814
[trimmed_mean - label_flipping_attack] Iteration 49. Test_acc 0.5142
[trimmed_mean - label_flipping_attack] Iteration 59. Test_acc 0.6756
[trimmed_mean - label_flipping_attack] Iteration 69. Test_acc 0.5729
[trimmed_mean - label_flipping_attack] Iteration 79. Test_acc 0.6639
[trimmed_mean - label_flipping_attack] Iteration 89. Test_acc 0.7155
[trimmed_mean - label_flipping_attack] Iteration 99. Test_acc 0.5734
[trimmed_mean - label_flipping_attack] Iteration 109. Test_acc 0.6804
[trimmed_mean - label_flipping_attack] Iteration 119. Test_acc 0.6514
[trimmed_mean - label_flipping_attack] Iteration 129. Test_acc 0.6699
[trimmed_mean - label_flipping_attack] Iteration 139. Test_acc 0.6715
[trimmed_mean - label_flipping_attack] Iteration 149. Test_acc 0.7385
[trimmed_mean - label_flipping_attack] Iteration 159. Test_acc 0.6564
[trimmed_mean - label_flipping_attack] Iteration 169. Test_acc 0.7031
[trimmed_mean - label_flipping_attack] Iteration 179. Test_acc 0.6440
[trimmed_mean - label_flipping_attack] Iteration 189. Test_acc 0.7066
[trimmed_mean - label_flipping_attack] Iteration 199. Test_acc 0.7081
[trimmed_mean - label_flipping_attack] Iteration 209. Test_acc 0.7094
[trimmed_mean - label_flipping_attack] Iteration 219. Test_acc 0.7597
[trimmed_mean - label_flipping_attack] Iteration 229. Test_acc 0.6826
[trimmed_mean - label_flipping_attack] Iteration 239. Test_acc 0.7037
[trimmed_mean - label_flipping_attack] Iteration 249. Test_acc 0.7861
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_000250.params
[trimmed_mean - label_flipping_attack] Iteration 259. Test_acc 0.7701
[trimmed_mean - label_flipping_attack] Iteration 269. Test_acc 0.7506
[trimmed_mean - label_flipping_attack] Iteration 279. Test_acc 0.7618
[trimmed_mean - label_flipping_attack] Iteration 289. Test_acc 0.7064
[trimmed_mean - label_flipping_attack] Iteration 299. Test_acc 0.7307
[trimmed_mean - label_flipping_attack] Iteration 309. Test_acc 0.7687
[trimmed_mean - label_flipping_attack] Iteration 319. Test_acc 0.7697
[trimmed_mean - label_flipping_attack] Iteration 329. Test_acc 0.5828
[trimmed_mean - label_flipping_attack] Iteration 339. Test_acc 0.6922
[trimmed_mean - label_flipping_attack] Iteration 349. Test_acc 0.7722
[trimmed_mean - label_flipping_attack] Iteration 359. Test_acc 0.6946
[trimmed_mean - label_flipping_attack] Iteration 369. Test_acc 0.7715
[trimmed_mean - label_flipping_attack] Iteration 379. Test_acc 0.7630
[trimmed_mean - label_flipping_attack] Iteration 389. Test_acc 0.7531
[trimmed_mean - label_flipping_attack] Iteration 399. Test_acc 0.7330
[trimmed_mean - label_flipping_attack] Iteration 409. Test_acc 0.7681
[trimmed_mean - label_flipping_attack] Iteration 419. Test_acc 0.7844
[trimmed_mean - label_flipping_attack] Iteration 429. Test_acc 0.6999
[trimmed_mean - label_flipping_attack] Iteration 439. Test_acc 0.7274
[trimmed_mean - label_flipping_attack] Iteration 449. Test_acc 0.6875
[trimmed_mean - label_flipping_attack] Iteration 459. Test_acc 0.7091
[trimmed_mean - label_flipping_attack] Iteration 469. Test_acc 0.7963
[trimmed_mean - label_flipping_attack] Iteration 479. Test_acc 0.7163
[trimmed_mean - label_flipping_attack] Iteration 489. Test_acc 0.7181
[trimmed_mean - label_flipping_attack] Iteration 499. Test_acc 0.7007
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_000500.params
[trimmed_mean - label_flipping_attack] Iteration 509. Test_acc 0.7992
