Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__no__krum.params
[krum - no] Iteration 09. Test_acc 0.3023
[krum - no] Iteration 19. Test_acc 0.3126
[krum - no] Iteration 29. Test_acc 0.3940
[krum - no] Iteration 39. Test_acc 0.4996
[krum - no] Iteration 49. Test_acc 0.5094
[krum - no] Iteration 59. Test_acc 0.5103
[krum - no] Iteration 69. Test_acc 0.5643
[krum - no] Iteration 79. Test_acc 0.6001
[krum - no] Iteration 89. Test_acc 0.5805
[krum - no] Iteration 99. Test_acc 0.6689
[krum - no] Iteration 109. Test_acc 0.6440
[krum - no] Iteration 119. Test_acc 0.6800
[krum - no] Iteration 129. Test_acc 0.6693
[krum - no] Iteration 139. Test_acc 0.6983
[krum - no] Iteration 149. Test_acc 0.6924
[krum - no] Iteration 159. Test_acc 0.7009
[krum - no] Iteration 169. Test_acc 0.7098
[krum - no] Iteration 179. Test_acc 0.6877
[krum - no] Iteration 189. Test_acc 0.7061
[krum - no] Iteration 199. Test_acc 0.7456
[krum - no] Iteration 209. Test_acc 0.7478
[krum - no] Iteration 219. Test_acc 0.7378
[krum - no] Iteration 229. Test_acc 0.7451
[krum - no] Iteration 239. Test_acc 0.7391
[krum - no] Iteration 249. Test_acc 0.7256
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_000250.params
[krum - no] Iteration 259. Test_acc 0.7521
[krum - no] Iteration 269. Test_acc 0.7496
[krum - no] Iteration 279. Test_acc 0.7635
[krum - no] Iteration 289. Test_acc 0.7324
[krum - no] Iteration 299. Test_acc 0.7557
[krum - no] Iteration 309. Test_acc 0.7516
[krum - no] Iteration 319. Test_acc 0.7537
[krum - no] Iteration 329. Test_acc 0.7088
[krum - no] Iteration 339. Test_acc 0.7697
[krum - no] Iteration 349. Test_acc 0.7552
[krum - no] Iteration 359. Test_acc 0.7339
[krum - no] Iteration 369. Test_acc 0.7656
[krum - no] Iteration 379. Test_acc 0.7567
[krum - no] Iteration 389. Test_acc 0.7551
[krum - no] Iteration 399. Test_acc 0.7424
[krum - no] Iteration 409. Test_acc 0.7644
[krum - no] Iteration 419. Test_acc 0.7646
[krum - no] Iteration 429. Test_acc 0.7474
[krum - no] Iteration 439. Test_acc 0.7745
[krum - no] Iteration 449. Test_acc 0.7698
[krum - no] Iteration 459. Test_acc 0.7658
[krum - no] Iteration 469. Test_acc 0.7746
[krum - no] Iteration 479. Test_acc 0.7728
[krum - no] Iteration 489. Test_acc 0.7800
[krum - no] Iteration 499. Test_acc 0.7868
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_000500.params
