Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__no__median.params
[median - no] Iteration 09. Test_acc 0.2779
[median - no] Iteration 19. Test_acc 0.3370
[median - no] Iteration 29. Test_acc 0.5005
[median - no] Iteration 39. Test_acc 0.5291
[median - no] Iteration 49. Test_acc 0.5324
[median - no] Iteration 59. Test_acc 0.5751
[median - no] Iteration 69. Test_acc 0.5151
[median - no] Iteration 79. Test_acc 0.6604
[median - no] Iteration 89. Test_acc 0.6990
[median - no] Iteration 99. Test_acc 0.7181
[median - no] Iteration 109. Test_acc 0.6524
[median - no] Iteration 119. Test_acc 0.7275
[median - no] Iteration 129. Test_acc 0.6907
[median - no] Iteration 139. Test_acc 0.7119
[median - no] Iteration 149. Test_acc 0.7405
[median - no] Iteration 159. Test_acc 0.6944
[median - no] Iteration 169. Test_acc 0.7624
[median - no] Iteration 179. Test_acc 0.7127
[median - no] Iteration 189. Test_acc 0.7466
[median - no] Iteration 199. Test_acc 0.7716
[median - no] Iteration 209. Test_acc 0.7165
[median - no] Iteration 219. Test_acc 0.7651
[median - no] Iteration 229. Test_acc 0.6884
[median - no] Iteration 239. Test_acc 0.7550
[median - no] Iteration 249. Test_acc 0.7355
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_000250.params
[median - no] Iteration 259. Test_acc 0.6894
[median - no] Iteration 269. Test_acc 0.7636
[median - no] Iteration 279. Test_acc 0.7631
[median - no] Iteration 289. Test_acc 0.7814
[median - no] Iteration 299. Test_acc 0.7418
[median - no] Iteration 309. Test_acc 0.7991
[median - no] Iteration 319. Test_acc 0.6567
[median - no] Iteration 329. Test_acc 0.7290
[median - no] Iteration 339. Test_acc 0.7913
[median - no] Iteration 349. Test_acc 0.7960
[median - no] Iteration 359. Test_acc 0.7892
[median - no] Iteration 369. Test_acc 0.7924
[median - no] Iteration 379. Test_acc 0.7777
[median - no] Iteration 389. Test_acc 0.7684
[median - no] Iteration 399. Test_acc 0.7703
[median - no] Iteration 409. Test_acc 0.7760
[median - no] Iteration 419. Test_acc 0.7482
[median - no] Iteration 429. Test_acc 0.8022
[median - no] Iteration 439. Test_acc 0.8085
[median - no] Iteration 449. Test_acc 0.7584
[median - no] Iteration 459. Test_acc 0.7418
[median - no] Iteration 469. Test_acc 0.7934
[median - no] Iteration 479. Test_acc 0.7915
[median - no] Iteration 489. Test_acc 0.7784
[median - no] Iteration 499. Test_acc 0.7798
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_000500.params
[median - no] Iteration 509. Test_acc 0.6874
[median - no] Iteration 519. Test_acc 0.7355
[median - no] Iteration 529. Test_acc 0.8035
[median - no] Iteration 539. Test_acc 0.7902
[median - no] Iteration 549. Test_acc 0.7840
[median - no] Iteration 559. Test_acc 0.7973
[median - no] Iteration 569. Test_acc 0.8142
[median - no] Iteration 579. Test_acc 0.7354
[median - no] Iteration 589. Test_acc 0.8104
[median - no] Iteration 599. Test_acc 0.8230
[median - no] Iteration 609. Test_acc 0.8168
[median - no] Iteration 619. Test_acc 0.7734
[median - no] Iteration 629. Test_acc 0.8099
[median - no] Iteration 639. Test_acc 0.8094
[median - no] Iteration 649. Test_acc 0.7805
[median - no] Iteration 659. Test_acc 0.7908
[median - no] Iteration 669. Test_acc 0.7981
[median - no] Iteration 679. Test_acc 0.8089
[median - no] Iteration 689. Test_acc 0.7388
[median - no] Iteration 699. Test_acc 0.8048
[median - no] Iteration 709. Test_acc 0.7594
[median - no] Iteration 719. Test_acc 0.7703
[median - no] Iteration 729. Test_acc 0.8146
[median - no] Iteration 739. Test_acc 0.7172
[median - no] Iteration 749. Test_acc 0.8181
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_000750.params
[median - no] Iteration 759. Test_acc 0.7797
[median - no] Iteration 769. Test_acc 0.8064
[median - no] Iteration 779. Test_acc 0.7876
[median - no] Iteration 789. Test_acc 0.7283
[median - no] Iteration 799. Test_acc 0.7942
[median - no] Iteration 809. Test_acc 0.8161
[median - no] Iteration 819. Test_acc 0.8013
[median - no] Iteration 829. Test_acc 0.8131
[median - no] Iteration 839. Test_acc 0.8108
[median - no] Iteration 849. Test_acc 0.7346
[median - no] Iteration 859. Test_acc 0.7843
[median - no] Iteration 869. Test_acc 0.8203
[median - no] Iteration 879. Test_acc 0.7970
[median - no] Iteration 889. Test_acc 0.7407
[median - no] Iteration 899. Test_acc 0.7388
[median - no] Iteration 909. Test_acc 0.7968
[median - no] Iteration 919. Test_acc 0.7785
[median - no] Iteration 929. Test_acc 0.8050
[median - no] Iteration 939. Test_acc 0.8172
[median - no] Iteration 949. Test_acc 0.8042
[median - no] Iteration 959. Test_acc 0.8081
[median - no] Iteration 969. Test_acc 0.8109
[median - no] Iteration 979. Test_acc 0.8137
[median - no] Iteration 989. Test_acc 0.8026
[median - no] Iteration 999. Test_acc 0.8254
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_001000.params
[median - no] Iteration 1009. Test_acc 0.7905
[median - no] Iteration 1019. Test_acc 0.8252
[median - no] Iteration 1029. Test_acc 0.7994
[median - no] Iteration 1039. Test_acc 0.7835
[median - no] Iteration 1049. Test_acc 0.8101
[median - no] Iteration 1059. Test_acc 0.6629
[median - no] Iteration 1069. Test_acc 0.8096
[median - no] Iteration 1079. Test_acc 0.7949
[median - no] Iteration 1089. Test_acc 0.8196
[median - no] Iteration 1099. Test_acc 0.8185
[median - no] Iteration 1109. Test_acc 0.7690
[median - no] Iteration 1119. Test_acc 0.8154
[median - no] Iteration 1129. Test_acc 0.7897
[median - no] Iteration 1139. Test_acc 0.8084
[median - no] Iteration 1149. Test_acc 0.8053
[median - no] Iteration 1159. Test_acc 0.8059
[median - no] Iteration 1169. Test_acc 0.7729
[median - no] Iteration 1179. Test_acc 0.7832
[median - no] Iteration 1189. Test_acc 0.8197
[median - no] Iteration 1199. Test_acc 0.7796
[median - no] Iteration 1209. Test_acc 0.8040
