Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean.params
[trimmed_mean - no] Iteration 09. Test_acc 0.3264
[trimmed_mean - no] Iteration 19. Test_acc 0.4550
[trimmed_mean - no] Iteration 29. Test_acc 0.4605
[trimmed_mean - no] Iteration 39. Test_acc 0.4399
[trimmed_mean - no] Iteration 49. Test_acc 0.5134
[trimmed_mean - no] Iteration 59. Test_acc 0.6348
[trimmed_mean - no] Iteration 69. Test_acc 0.4157
[trimmed_mean - no] Iteration 79. Test_acc 0.6157
[trimmed_mean - no] Iteration 89. Test_acc 0.4589
[trimmed_mean - no] Iteration 99. Test_acc 0.5517
[trimmed_mean - no] Iteration 109. Test_acc 0.6728
[trimmed_mean - no] Iteration 119. Test_acc 0.5549
[trimmed_mean - no] Iteration 129. Test_acc 0.7144
[trimmed_mean - no] Iteration 139. Test_acc 0.7138
[trimmed_mean - no] Iteration 149. Test_acc 0.7389
[trimmed_mean - no] Iteration 159. Test_acc 0.7074
[trimmed_mean - no] Iteration 169. Test_acc 0.7273
[trimmed_mean - no] Iteration 179. Test_acc 0.6886
[trimmed_mean - no] Iteration 189. Test_acc 0.7101
[trimmed_mean - no] Iteration 199. Test_acc 0.6887
[trimmed_mean - no] Iteration 209. Test_acc 0.7665
[trimmed_mean - no] Iteration 219. Test_acc 0.7436
[trimmed_mean - no] Iteration 229. Test_acc 0.7120
[trimmed_mean - no] Iteration 239. Test_acc 0.7108
[trimmed_mean - no] Iteration 249. Test_acc 0.7577
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_000250.params
[trimmed_mean - no] Iteration 259. Test_acc 0.7747
[trimmed_mean - no] Iteration 269. Test_acc 0.7458
[trimmed_mean - no] Iteration 279. Test_acc 0.7295
[trimmed_mean - no] Iteration 289. Test_acc 0.7781
[trimmed_mean - no] Iteration 299. Test_acc 0.6846
[trimmed_mean - no] Iteration 309. Test_acc 0.7588
[trimmed_mean - no] Iteration 319. Test_acc 0.7761
[trimmed_mean - no] Iteration 329. Test_acc 0.7472
[trimmed_mean - no] Iteration 339. Test_acc 0.7841
[trimmed_mean - no] Iteration 349. Test_acc 0.7974
[trimmed_mean - no] Iteration 359. Test_acc 0.7830
[trimmed_mean - no] Iteration 369. Test_acc 0.7889
[trimmed_mean - no] Iteration 379. Test_acc 0.7909
[trimmed_mean - no] Iteration 389. Test_acc 0.7359
[trimmed_mean - no] Iteration 399. Test_acc 0.7996
[trimmed_mean - no] Iteration 409. Test_acc 0.7499
[trimmed_mean - no] Iteration 419. Test_acc 0.7257
[trimmed_mean - no] Iteration 429. Test_acc 0.7436
[trimmed_mean - no] Iteration 439. Test_acc 0.7626
[trimmed_mean - no] Iteration 449. Test_acc 0.7937
[trimmed_mean - no] Iteration 459. Test_acc 0.7900
[trimmed_mean - no] Iteration 469. Test_acc 0.7593
[trimmed_mean - no] Iteration 479. Test_acc 0.7741
[trimmed_mean - no] Iteration 489. Test_acc 0.7783
[trimmed_mean - no] Iteration 499. Test_acc 0.7954
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_000500.params
[trimmed_mean - no] Iteration 509. Test_acc 0.7909
[trimmed_mean - no] Iteration 519. Test_acc 0.7874
[trimmed_mean - no] Iteration 529. Test_acc 0.7593
[trimmed_mean - no] Iteration 539. Test_acc 0.7683
[trimmed_mean - no] Iteration 549. Test_acc 0.7660
[trimmed_mean - no] Iteration 559. Test_acc 0.7679
[trimmed_mean - no] Iteration 569. Test_acc 0.8099
[trimmed_mean - no] Iteration 579. Test_acc 0.8063
[trimmed_mean - no] Iteration 589. Test_acc 0.7453
[trimmed_mean - no] Iteration 599. Test_acc 0.7554
[trimmed_mean - no] Iteration 609. Test_acc 0.7958
[trimmed_mean - no] Iteration 619. Test_acc 0.7965
[trimmed_mean - no] Iteration 629. Test_acc 0.7642
[trimmed_mean - no] Iteration 639. Test_acc 0.7847
[trimmed_mean - no] Iteration 649. Test_acc 0.7934
[trimmed_mean - no] Iteration 659. Test_acc 0.7202
[trimmed_mean - no] Iteration 669. Test_acc 0.8079
[trimmed_mean - no] Iteration 679. Test_acc 0.8088
[trimmed_mean - no] Iteration 689. Test_acc 0.7905
[trimmed_mean - no] Iteration 699. Test_acc 0.7683
[trimmed_mean - no] Iteration 709. Test_acc 0.7902
[trimmed_mean - no] Iteration 719. Test_acc 0.8084
[trimmed_mean - no] Iteration 729. Test_acc 0.8231
[trimmed_mean - no] Iteration 739. Test_acc 0.8027
[trimmed_mean - no] Iteration 749. Test_acc 0.8131
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_000750.params
[trimmed_mean - no] Iteration 759. Test_acc 0.8045
[trimmed_mean - no] Iteration 769. Test_acc 0.7804
[trimmed_mean - no] Iteration 779. Test_acc 0.8029
[trimmed_mean - no] Iteration 789. Test_acc 0.7542
[trimmed_mean - no] Iteration 799. Test_acc 0.7988
[trimmed_mean - no] Iteration 809. Test_acc 0.7761
[trimmed_mean - no] Iteration 819. Test_acc 0.8156
[trimmed_mean - no] Iteration 829. Test_acc 0.8088
[trimmed_mean - no] Iteration 839. Test_acc 0.7720
[trimmed_mean - no] Iteration 849. Test_acc 0.8216
[trimmed_mean - no] Iteration 859. Test_acc 0.7997
[trimmed_mean - no] Iteration 869. Test_acc 0.7159
[trimmed_mean - no] Iteration 879. Test_acc 0.8057
[trimmed_mean - no] Iteration 889. Test_acc 0.8266
[trimmed_mean - no] Iteration 899. Test_acc 0.8092
[trimmed_mean - no] Iteration 909. Test_acc 0.8177
[trimmed_mean - no] Iteration 919. Test_acc 0.8341
[trimmed_mean - no] Iteration 929. Test_acc 0.7758
[trimmed_mean - no] Iteration 939. Test_acc 0.8150
[trimmed_mean - no] Iteration 949. Test_acc 0.8193
[trimmed_mean - no] Iteration 959. Test_acc 0.8051
[trimmed_mean - no] Iteration 969. Test_acc 0.8128
[trimmed_mean - no] Iteration 979. Test_acc 0.8072
[trimmed_mean - no] Iteration 989. Test_acc 0.8086
[trimmed_mean - no] Iteration 999. Test_acc 0.8118
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_001000.params
[trimmed_mean - no] Iteration 1009. Test_acc 0.8104
[trimmed_mean - no] Iteration 1019. Test_acc 0.8291
[trimmed_mean - no] Iteration 1029. Test_acc 0.8152
[trimmed_mean - no] Iteration 1039. Test_acc 0.8005
[trimmed_mean - no] Iteration 1049. Test_acc 0.7937
[trimmed_mean - no] Iteration 1059. Test_acc 0.8068
[trimmed_mean - no] Iteration 1069. Test_acc 0.8087
[trimmed_mean - no] Iteration 1079. Test_acc 0.8003
[trimmed_mean - no] Iteration 1089. Test_acc 0.7897
[trimmed_mean - no] Iteration 1099. Test_acc 0.8035
[trimmed_mean - no] Iteration 1109. Test_acc 0.8317
[trimmed_mean - no] Iteration 1119. Test_acc 0.7883
[trimmed_mean - no] Iteration 1129. Test_acc 0.8020
[trimmed_mean - no] Iteration 1139. Test_acc 0.7660
[trimmed_mean - no] Iteration 1149. Test_acc 0.7810
[trimmed_mean - no] Iteration 1159. Test_acc 0.8279
[trimmed_mean - no] Iteration 1169. Test_acc 0.8149
[trimmed_mean - no] Iteration 1179. Test_acc 0.8040
[trimmed_mean - no] Iteration 1189. Test_acc 0.8208
[trimmed_mean - no] Iteration 1199. Test_acc 0.8225
[trimmed_mean - no] Iteration 1209. Test_acc 0.8380
[trimmed_mean - no] Iteration 1219. Test_acc 0.7677
[trimmed_mean - no] Iteration 1229. Test_acc 0.8264
[trimmed_mean - no] Iteration 1239. Test_acc 0.7955
[trimmed_mean - no] Iteration 1249. Test_acc 0.8137
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_001250.params
[trimmed_mean - no] Iteration 1259. Test_acc 0.8401
[trimmed_mean - no] Iteration 1269. Test_acc 0.7858
[trimmed_mean - no] Iteration 1279. Test_acc 0.8058
[trimmed_mean - no] Iteration 1289. Test_acc 0.8327
[trimmed_mean - no] Iteration 1299. Test_acc 0.8148
[trimmed_mean - no] Iteration 1309. Test_acc 0.8073
[trimmed_mean - no] Iteration 1319. Test_acc 0.8097
[trimmed_mean - no] Iteration 1329. Test_acc 0.8298
[trimmed_mean - no] Iteration 1339. Test_acc 0.7869
[trimmed_mean - no] Iteration 1349. Test_acc 0.8194
[trimmed_mean - no] Iteration 1359. Test_acc 0.8133
[trimmed_mean - no] Iteration 1369. Test_acc 0.8022
[trimmed_mean - no] Iteration 1379. Test_acc 0.7988
[trimmed_mean - no] Iteration 1389. Test_acc 0.8399
[trimmed_mean - no] Iteration 1399. Test_acc 0.8054
[trimmed_mean - no] Iteration 1409. Test_acc 0.8231
[trimmed_mean - no] Iteration 1419. Test_acc 0.8179
[trimmed_mean - no] Iteration 1429. Test_acc 0.8199
[trimmed_mean - no] Iteration 1439. Test_acc 0.8168
[trimmed_mean - no] Iteration 1449. Test_acc 0.8197
[trimmed_mean - no] Iteration 1459. Test_acc 0.7906
[trimmed_mean - no] Iteration 1469. Test_acc 0.7808
[trimmed_mean - no] Iteration 1479. Test_acc 0.8188
[trimmed_mean - no] Iteration 1489. Test_acc 0.8207
[trimmed_mean - no] Iteration 1499. Test_acc 0.8408
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_001500.params
[trimmed_mean - no] Iteration 1509. Test_acc 0.8291
[trimmed_mean - no] Iteration 1519. Test_acc 0.8292
[trimmed_mean - no] Iteration 1529. Test_acc 0.8355
[trimmed_mean - no] Iteration 1539. Test_acc 0.8096
[trimmed_mean - no] Iteration 1549. Test_acc 0.7913
[trimmed_mean - no] Iteration 1559. Test_acc 0.8166
[trimmed_mean - no] Iteration 1569. Test_acc 0.8374
[trimmed_mean - no] Iteration 1579. Test_acc 0.8187
[trimmed_mean - no] Iteration 1589. Test_acc 0.8103
[trimmed_mean - no] Iteration 1599. Test_acc 0.8232
[trimmed_mean - no] Iteration 1609. Test_acc 0.7945
[trimmed_mean - no] Iteration 1619. Test_acc 0.8129
[trimmed_mean - no] Iteration 1629. Test_acc 0.7890
[trimmed_mean - no] Iteration 1639. Test_acc 0.8432
[trimmed_mean - no] Iteration 1649. Test_acc 0.8323
[trimmed_mean - no] Iteration 1659. Test_acc 0.8189
[trimmed_mean - no] Iteration 1669. Test_acc 0.8458
[trimmed_mean - no] Iteration 1679. Test_acc 0.8238
[trimmed_mean - no] Iteration 1689. Test_acc 0.8321
[trimmed_mean - no] Iteration 1699. Test_acc 0.8282
[trimmed_mean - no] Iteration 1709. Test_acc 0.8495
[trimmed_mean - no] Iteration 1719. Test_acc 0.8172
[trimmed_mean - no] Iteration 1729. Test_acc 0.8458
[trimmed_mean - no] Iteration 1739. Test_acc 0.8310
[trimmed_mean - no] Iteration 1749. Test_acc 0.8233
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_001750.params
[trimmed_mean - no] Iteration 1759. Test_acc 0.8507
[trimmed_mean - no] Iteration 1769. Test_acc 0.8502
[trimmed_mean - no] Iteration 1779. Test_acc 0.8504
[trimmed_mean - no] Iteration 1789. Test_acc 0.8376
[trimmed_mean - no] Iteration 1799. Test_acc 0.8512
[trimmed_mean - no] Iteration 1809. Test_acc 0.8555
[trimmed_mean - no] Iteration 1819. Test_acc 0.7938
[trimmed_mean - no] Iteration 1829. Test_acc 0.7388
[trimmed_mean - no] Iteration 1839. Test_acc 0.8038
[trimmed_mean - no] Iteration 1849. Test_acc 0.8493
[trimmed_mean - no] Iteration 1859. Test_acc 0.8516
[trimmed_mean - no] Iteration 1869. Test_acc 0.8299
[trimmed_mean - no] Iteration 1879. Test_acc 0.8343
[trimmed_mean - no] Iteration 1889. Test_acc 0.8310
[trimmed_mean - no] Iteration 1899. Test_acc 0.8246
[trimmed_mean - no] Iteration 1909. Test_acc 0.8468
[trimmed_mean - no] Iteration 1919. Test_acc 0.8567
[trimmed_mean - no] Iteration 1929. Test_acc 0.8524
[trimmed_mean - no] Iteration 1939. Test_acc 0.8417
[trimmed_mean - no] Iteration 1949. Test_acc 0.8367
[trimmed_mean - no] Iteration 1959. Test_acc 0.8393
[trimmed_mean - no] Iteration 1969. Test_acc 0.8332
[trimmed_mean - no] Iteration 1979. Test_acc 0.8255
[trimmed_mean - no] Iteration 1989. Test_acc 0.8336
[trimmed_mean - no] Iteration 1999. Test_acc 0.8456
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_002000.params
[trimmed_mean - no] Iteration 2009. Test_acc 0.8502
[trimmed_mean - no] Iteration 2019. Test_acc 0.8404
[trimmed_mean - no] Iteration 2029. Test_acc 0.8610
[trimmed_mean - no] Iteration 2039. Test_acc 0.8521
[trimmed_mean - no] Iteration 2049. Test_acc 0.8401
[trimmed_mean - no] Iteration 2059. Test_acc 0.8379
[trimmed_mean - no] Iteration 2069. Test_acc 0.8484
[trimmed_mean - no] Iteration 2079. Test_acc 0.8512
[trimmed_mean - no] Iteration 2089. Test_acc 0.8441
[trimmed_mean - no] Iteration 2099. Test_acc 0.8569
[trimmed_mean - no] Iteration 2109. Test_acc 0.8446
[trimmed_mean - no] Iteration 2119. Test_acc 0.8470
[trimmed_mean - no] Iteration 2129. Test_acc 0.8560
[trimmed_mean - no] Iteration 2139. Test_acc 0.8529
[trimmed_mean - no] Iteration 2149. Test_acc 0.8559
[trimmed_mean - no] Iteration 2159. Test_acc 0.8431
[trimmed_mean - no] Iteration 2169. Test_acc 0.8549
[trimmed_mean - no] Iteration 2179. Test_acc 0.8528
[trimmed_mean - no] Iteration 2189. Test_acc 0.8626
[trimmed_mean - no] Iteration 2199. Test_acc 0.8390
[trimmed_mean - no] Iteration 2209. Test_acc 0.8558
[trimmed_mean - no] Iteration 2219. Test_acc 0.8579
[trimmed_mean - no] Iteration 2229. Test_acc 0.8554
[trimmed_mean - no] Iteration 2239. Test_acc 0.8289
[trimmed_mean - no] Iteration 2249. Test_acc 0.8450
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_002250.params
[trimmed_mean - no] Iteration 2259. Test_acc 0.8367
[trimmed_mean - no] Iteration 2269. Test_acc 0.8573
[trimmed_mean - no] Iteration 2279. Test_acc 0.8470
[trimmed_mean - no] Iteration 2289. Test_acc 0.8511
[trimmed_mean - no] Iteration 2299. Test_acc 0.8500
[trimmed_mean - no] Iteration 2309. Test_acc 0.8466
[trimmed_mean - no] Iteration 2319. Test_acc 0.8533
[trimmed_mean - no] Iteration 2329. Test_acc 0.8663
[trimmed_mean - no] Iteration 2339. Test_acc 0.8465
[trimmed_mean - no] Iteration 2349. Test_acc 0.8466
[trimmed_mean - no] Iteration 2359. Test_acc 0.8308
[trimmed_mean - no] Iteration 2369. Test_acc 0.8004
[trimmed_mean - no] Iteration 2379. Test_acc 0.8479
[trimmed_mean - no] Iteration 2389. Test_acc 0.8493
[trimmed_mean - no] Iteration 2399. Test_acc 0.8639
[trimmed_mean - no] Iteration 2409. Test_acc 0.8616
[trimmed_mean - no] Iteration 2419. Test_acc 0.8571
[trimmed_mean - no] Iteration 2429. Test_acc 0.8596
[trimmed_mean - no] Iteration 2439. Test_acc 0.8595
[trimmed_mean - no] Iteration 2449. Test_acc 0.8268
[trimmed_mean - no] Iteration 2459. Test_acc 0.8462
[trimmed_mean - no] Iteration 2469. Test_acc 0.8439
[trimmed_mean - no] Iteration 2479. Test_acc 0.8523
[trimmed_mean - no] Iteration 2489. Test_acc 0.8650
[trimmed_mean - no] Iteration 2499. Test_acc 0.8650
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_002500.params
Checkpoint already complete (iter 2500/2500): checkpoints/flat__pair__every_10pct_of_2500__no__trimmed_mean__iter_002500.params
Skipping run: final checkpoint exists; not loading datasets/models.
