Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median.params
Scaling attack: train with labels 7 -> 1 on Byzantine clients; attack success rate = fraction of test images with true label 7 that the global model predicts as 1 (FLTrust).
[median - scaling_attack] Iteration 09. Test_acc 0.1055  Attack_succ_rate 0.0500 (src=7 tgt=1)
[median - scaling_attack] Iteration 19. Test_acc 0.2021  Attack_succ_rate 0.7610 (src=7 tgt=1)
[median - scaling_attack] Iteration 29. Test_acc 0.3333  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 39. Test_acc 0.3745  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 49. Test_acc 0.4705  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 59. Test_acc 0.5189  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 69. Test_acc 0.4382  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 79. Test_acc 0.5340  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 89. Test_acc 0.6405  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 99. Test_acc 0.6277  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 109. Test_acc 0.6399  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 119. Test_acc 0.5530  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 129. Test_acc 0.7014  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 139. Test_acc 0.6613  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 149. Test_acc 0.6875  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 159. Test_acc 0.6857  Attack_succ_rate 0.0000 (src=7 tgt=1)
