Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust.params
[fltrust - trim_attack] Iteration 09. Test_acc 0.3447
[fltrust - trim_attack] Iteration 19. Test_acc 0.2852
[fltrust - trim_attack] Iteration 29. Test_acc 0.4946
[fltrust - trim_attack] Iteration 39. Test_acc 0.4589
[fltrust - trim_attack] Iteration 49. Test_acc 0.5518
[fltrust - trim_attack] Iteration 59. Test_acc 0.6383
[fltrust - trim_attack] Iteration 69. Test_acc 0.6459
[fltrust - trim_attack] Iteration 79. Test_acc 0.7417
[fltrust - trim_attack] Iteration 89. Test_acc 0.7117
[fltrust - trim_attack] Iteration 99. Test_acc 0.7166
[fltrust - trim_attack] Iteration 109. Test_acc 0.7168
[fltrust - trim_attack] Iteration 119. Test_acc 0.7615
[fltrust - trim_attack] Iteration 129. Test_acc 0.7607
[fltrust - trim_attack] Iteration 139. Test_acc 0.7524
[fltrust - trim_attack] Iteration 149. Test_acc 0.7392
[fltrust - trim_attack] Iteration 159. Test_acc 0.7365
[fltrust - trim_attack] Iteration 169. Test_acc 0.7683
[fltrust - trim_attack] Iteration 179. Test_acc 0.7554
[fltrust - trim_attack] Iteration 189. Test_acc 0.7759
[fltrust - trim_attack] Iteration 199. Test_acc 0.7743
[fltrust - trim_attack] Iteration 209. Test_acc 0.7808
[fltrust - trim_attack] Iteration 219. Test_acc 0.7868
[fltrust - trim_attack] Iteration 229. Test_acc 0.7961
[fltrust - trim_attack] Iteration 239. Test_acc 0.7987
[fltrust - trim_attack] Iteration 249. Test_acc 0.7961
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_000250.params
[fltrust - trim_attack] Iteration 259. Test_acc 0.7849
[fltrust - trim_attack] Iteration 269. Test_acc 0.7866
[fltrust - trim_attack] Iteration 279. Test_acc 0.8020
[fltrust - trim_attack] Iteration 289. Test_acc 0.8001
[fltrust - trim_attack] Iteration 299. Test_acc 0.8112
[fltrust - trim_attack] Iteration 309. Test_acc 0.8120
[fltrust - trim_attack] Iteration 319. Test_acc 0.8077
[fltrust - trim_attack] Iteration 329. Test_acc 0.8118
[fltrust - trim_attack] Iteration 339. Test_acc 0.8143
[fltrust - trim_attack] Iteration 349. Test_acc 0.8035
[fltrust - trim_attack] Iteration 359. Test_acc 0.8081
[fltrust - trim_attack] Iteration 369. Test_acc 0.8193
[fltrust - trim_attack] Iteration 379. Test_acc 0.8290
[fltrust - trim_attack] Iteration 389. Test_acc 0.8276
[fltrust - trim_attack] Iteration 399. Test_acc 0.8342
[fltrust - trim_attack] Iteration 409. Test_acc 0.8266
[fltrust - trim_attack] Iteration 419. Test_acc 0.8225
[fltrust - trim_attack] Iteration 429. Test_acc 0.8304
[fltrust - trim_attack] Iteration 439. Test_acc 0.8210
[fltrust - trim_attack] Iteration 449. Test_acc 0.8238
[fltrust - trim_attack] Iteration 459. Test_acc 0.8287
[fltrust - trim_attack] Iteration 469. Test_acc 0.8306
[fltrust - trim_attack] Iteration 479. Test_acc 0.8362
