SnapshotSafari resize auto-detected: 96x128
Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2000__no__fedavg.params
[fedavg - no] Iteration 09. Test_acc 0.6342
[fedavg - no] Iteration 19. Test_acc 0.6413
[fedavg - no] Iteration 29. Test_acc 0.6413
[fedavg - no] Iteration 39. Test_acc 0.6381
[fedavg - no] Iteration 49. Test_acc 0.6413
[fedavg - no] Iteration 59. Test_acc 0.6393
[fedavg - no] Iteration 69. Test_acc 0.6436
[fedavg - no] Iteration 79. Test_acc 0.6374
[fedavg - no] Iteration 89. Test_acc 0.6403
[fedavg - no] Iteration 99. Test_acc 0.6413
[fedavg - no] Iteration 109. Test_acc 0.6367
[fedavg - no] Iteration 119. Test_acc 0.6406
[fedavg - no] Iteration 129. Test_acc 0.6400
[fedavg - no] Iteration 139. Test_acc 0.6436
[fedavg - no] Iteration 149. Test_acc 0.6396
[fedavg - no] Iteration 159. Test_acc 0.6432
[fedavg - no] Iteration 169. Test_acc 0.6439
[fedavg - no] Iteration 179. Test_acc 0.6431
[fedavg - no] Iteration 189. Test_acc 0.6468
[fedavg - no] Iteration 199. Test_acc 0.6458
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2000__no__fedavg__iter_000200.params
[fedavg - no] Iteration 209. Test_acc 0.6475
[fedavg - no] Iteration 219. Test_acc 0.6460
[fedavg - no] Iteration 229. Test_acc 0.6507
[fedavg - no] Iteration 239. Test_acc 0.6501
[fedavg - no] Iteration 249. Test_acc 0.6502
[fedavg - no] Iteration 259. Test_acc 0.6481
[fedavg - no] Iteration 269. Test_acc 0.6530
[fedavg - no] Iteration 279. Test_acc 0.6527
[fedavg - no] Iteration 289. Test_acc 0.6516
[fedavg - no] Iteration 299. Test_acc 0.6566
[fedavg - no] Iteration 309. Test_acc 0.6569
[fedavg - no] Iteration 319. Test_acc 0.6605
[fedavg - no] Iteration 329. Test_acc 0.6527
[fedavg - no] Iteration 339. Test_acc 0.6608
[fedavg - no] Iteration 349. Test_acc 0.6592
[fedavg - no] Iteration 359. Test_acc 0.6555
[fedavg - no] Iteration 369. Test_acc 0.6576
[fedavg - no] Iteration 379. Test_acc 0.6582
[fedavg - no] Iteration 389. Test_acc 0.6598
[fedavg - no] Iteration 399. Test_acc 0.6609
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2000__no__fedavg__iter_000400.params
[fedavg - no] Iteration 409. Test_acc 0.6641
[fedavg - no] Iteration 419. Test_acc 0.6631
[fedavg - no] Iteration 429. Test_acc 0.6634
[fedavg - no] Iteration 439. Test_acc 0.6576
[fedavg - no] Iteration 449. Test_acc 0.6562
[fedavg - no] Iteration 459. Test_acc 0.6660
[fedavg - no] Iteration 469. Test_acc 0.6452
[fedavg - no] Iteration 479. Test_acc 0.6611
[fedavg - no] Iteration 489. Test_acc 0.6549
[fedavg - no] Iteration 499. Test_acc 0.6477
[fedavg - no] Iteration 509. Test_acc 0.6605
[fedavg - no] Iteration 519. Test_acc 0.6458
[fedavg - no] Iteration 529. Test_acc 0.6536
[fedavg - no] Iteration 539. Test_acc 0.6502
[fedavg - no] Iteration 549. Test_acc 0.6667
[fedavg - no] Iteration 559. Test_acc 0.6615
[fedavg - no] Iteration 569. Test_acc 0.6573
